testName,countIndex,countRandom,countSeqSplit,PercentageIndex,PercentageRandom,PercentageSeqSplit
11:CollisionOver,62,58,57,1.51,1.42,1.39
74:RandomWalk1,59,39,37,1.44,0.95,0.9
12:CollisionOver,52,69,68,1.27,1.68,1.66
24:ClosePairs,48,36,41,1.17,0.88,1.0
76:RandomWalk1,46,43,46,1.12,1.05,1.12
25:ClosePairs,42,44,44,1.03,1.07,1.07
22:ClosePairs,42,43,50,1.03,1.05,1.22
79:RandomWalk1,41,38,41,1.0,0.93,1.0
75:RandomWalk1,38,42,40,0.93,1.03,0.98
78:RandomWalk1,38,44,47,0.93,1.07,1.15
23:ClosePairs,37,49,32,0.9,1.2,0.78
77:RandomWalk1,36,48,41,0.88,1.17,1.0
10:CollisionOver,24,28,18,0.59,0.68,0.44
9:CollisionOver,21,26,35,0.51,0.63,0.85
48:MaxOft,20,16,21,0.49,0.39,0.51
46:MaxOft,19,25,17,0.46,0.61,0.42
96:HammingIndep,15,12,6,0.37,0.29,0.15
86:LongestHeadRun,14,15,9,0.34,0.37,0.22
56:SampleCorr,14,12,6,0.34,0.29,0.15
49:MaxOft,14,10,14,0.34,0.24,0.34
38:Run,13,11,4,0.32,0.27,0.1
93:HammingCorr,13,5,13,0.32,0.12,0.32
82:LempelZiv,12,15,8,0.29,0.37,0.2
61:WeightDistrib,12,7,10,0.29,0.17,0.24
47:MaxOft,12,14,12,0.29,0.34,0.29
41:Permutation,12,11,8,0.29,0.27,0.2
63:WeightDistrib,11,4,13,0.27,0.1,0.32
95:HammingIndep,11,9,10,0.27,0.22,0.24
60:WeightDistrib,11,14,10,0.27,0.34,0.24
55:SampleCorr,11,12,13,0.27,0.29,0.32
100:HammingIndep,11,9,9,0.27,0.22,0.22
103:AutoCor,11,5,7,0.27,0.12,0.17
67:MatrixRank,10,9,8,0.24,0.22,0.2
72:Savir2,10,8,13,0.24,0.2,0.32
59:WeightDistrib,10,12,7,0.24,0.29,0.17
21:BirthdaySpacings,10,8,7,0.24,0.2,0.17
62:WeightDistrib,10,5,4,0.24,0.12,0.1
68:MatrixRank,10,10,13,0.24,0.24,0.32
42:Permutation,10,5,6,0.24,0.12,0.15
104:AutoCor,10,5,8,0.24,0.12,0.2
102:Run,10,9,10,0.24,0.22,0.24
36:Gap,10,9,11,0.24,0.22,0.27
53:SampleMean,10,8,9,0.24,0.2,0.22
8:CollisionOver,9,12,11,0.22,0.29,0.27
101:Run,9,7,14,0.22,0.17,0.34
88:PeriodsInStrings,9,7,8,0.22,0.17,0.2
94:HammingCorr,9,13,7,0.22,0.32,0.17
66:MatrixRank,9,4,8,0.22,0.1,0.2
97:HammingIndep,9,12,8,0.22,0.29,0.2
26:SimpPoker,9,7,7,0.22,0.17,0.17
34:Gap,9,15,12,0.22,0.37,0.29
51:SampleProd,9,7,5,0.22,0.17,0.12
39:Run,9,16,12,0.22,0.39,0.29
4:CollisionOver,9,12,9,0.22,0.29,0.22
73:GCD,8,8,4,0.2,0.2,0.1
17:BirthdaySpacings,8,7,11,0.2,0.17,0.27
35:Gap,8,4,9,0.2,0.1,0.22
14:BirthdaySpacings,8,5,8,0.2,0.12,0.2
106:AutoCor,8,6,5,0.2,0.15,0.12
30:CouponCollector,8,5,7,0.2,0.12,0.17
2:SerialOver,8,9,14,0.2,0.22,0.34
92:HammingCorr,8,11,6,0.2,0.27,0.15
57:AppearanceSpacings,8,9,9,0.2,0.22,0.22
28:SimpPoker,8,12,5,0.2,0.29,0.12
1:SerialOver,8,10,13,0.2,0.24,0.32
32:CouponCollector,7,7,2,0.17,0.17,0.05
87:LongestHeadRun,7,9,10,0.17,0.22,0.24
105:AutoCor,7,15,8,0.17,0.37,0.2
98:HammingIndep,7,8,3,0.17,0.2,0.07
16:BirthdaySpacings,7,8,5,0.17,0.2,0.12
99:HammingIndep,7,12,12,0.17,0.29,0.29
52:SampleProd,7,9,8,0.17,0.22,0.2
70:MatrixRank,7,3,4,0.17,0.07,0.1
29:SimpPoker,7,9,6,0.17,0.22,0.15
31:CouponCollector,7,7,5,0.17,0.17,0.12
65:SumCollector,6,9,6,0.15,0.22,0.15
54:SampleMean,6,5,7,0.15,0.12,0.17
19:BirthdaySpacings,6,7,4,0.15,0.17,0.1
27:SimpPoker,6,6,9,0.15,0.15,0.22
69:MatrixRank,6,10,11,0.15,0.24,0.27
90:HammingWeight2,6,7,7,0.15,0.17,0.17
7:CollisionOver,6,12,10,0.15,0.29,0.24
83:LempelZiv,6,9,14,0.15,0.22,0.34
71:MatrixRank,5,7,8,0.12,0.17,0.2
40:Permutation,5,8,11,0.12,0.2,0.27
91:HammingWeight2,5,8,17,0.12,0.2,0.42
20:BirthdaySpacings,5,9,7,0.12,0.22,0.17
37:Gap,5,9,9,0.12,0.22,0.22
43:Permutation,5,14,8,0.12,0.34,0.2
64:WeightDistrib,5,9,7,0.12,0.22,0.17
13:BirthdaySpacings,5,12,7,0.12,0.29,0.17
15:BirthdaySpacings,5,5,5,0.12,0.12,0.12
45:CollisionPermut,5,4,9,0.12,0.1,0.22
50:SampleProd,5,9,7,0.12,0.22,0.17
18:BirthdaySpacings,5,8,5,0.12,0.2,0.12
89:PeriodsInStrings,4,3,4,0.1,0.07,0.1
85:Fourier3,4,4,6,0.1,0.1,0.15
58:AppearanceSpacings,4,10,5,0.1,0.24,0.12
33:CouponCollector,4,10,9,0.1,0.24,0.22
44:CollisionPermut,3,5,6,0.07,0.12,0.15
5:CollisionOver,3,5,11,0.07,0.12,0.27
3:CollisionOver,2,9,8,0.05,0.22,0.2
6:CollisionOver,2,6,7,0.05,0.15,0.17
84:Fourier3,1,3,3,0.02,0.07,0.07
