testName,count1,count2
81:LinearComp,1139,1128
80:LinearComp,1139,1128
74:RandomWalk1,63,59
11:CollisionOver,62,62
12:CollisionOver,52,52
76:RandomWalk1,48,46
24:ClosePairs,48,48
75:RandomWalk1,42,38
25:ClosePairs,42,42
22:ClosePairs,42,42
79:RandomWalk1,39,41
78:RandomWalk1,38,38
23:ClosePairs,37,37
77:RandomWalk1,37,36
10:CollisionOver,24,24
9:CollisionOver,21,21
48:MaxOft,19,20
46:MaxOft,18,19
96:HammingIndep,15,15
56:SampleCorr,14,14
49:MaxOft,14,14
86:LongestHeadRun,14,14
93:HammingCorr,14,13
38:Run,13,13
95:HammingIndep,13,11
61:WeightDistrib,12,12
47:MaxOft,12,12
41:Permutation,12,12
100:HammingIndep,12,11
103:AutoCor,11,11
63:WeightDistrib,11,11
82:LempelZiv,11,12
60:WeightDistrib,11,11
55:SampleCorr,11,11
67:MatrixRank,11,10
59:WeightDistrib,10,10
72:Savir2,10,10
104:AutoCor,10,10
42:Permutation,10,10
53:SampleMean,10,10
102:Run,10,10
21:BirthdaySpacings,10,10
62:WeightDistrib,10,10
36:Gap,10,10
99:HammingIndep,10,7
101:Run,9,9
51:SampleProd,9,9
4:CollisionOver,9,9
73:GCD,9,8
26:SimpPoker,9,9
88:PeriodsInStrings,9,9
94:HammingCorr,9,9
39:Run,9,9
66:MatrixRank,9,9
68:MatrixRank,9,10
34:Gap,9,9
8:CollisionOver,9,9
106:AutoCor,8,8
14:BirthdaySpacings,8,8
1:SerialOver,8,8
17:BirthdaySpacings,8,8
30:CouponCollector,8,8
57:AppearanceSpacings,8,8
28:SimpPoker,8,8
2:SerialOver,8,8
35:Gap,8,8
98:HammingIndep,8,7
83:LempelZiv,7,6
105:AutoCor,7,7
92:HammingCorr,7,8
16:BirthdaySpacings,7,7
97:HammingIndep,7,9
87:LongestHeadRun,7,7
52:SampleProd,7,7
32:CouponCollector,7,7
31:CouponCollector,7,7
29:SimpPoker,7,7
70:MatrixRank,7,7
65:SumCollector,6,6
19:BirthdaySpacings,6,6
7:CollisionOver,6,6
90:HammingWeight2,6,6
27:SimpPoker,6,6
85:Fourier3,5,4
37:Gap,5,5
40:Permutation,5,5
43:Permutation,5,5
45:CollisionPermut,5,5
50:SampleProd,5,5
71:MatrixRank,5,5
20:BirthdaySpacings,5,5
13:BirthdaySpacings,5,5
64:WeightDistrib,5,5
15:BirthdaySpacings,5,5
18:BirthdaySpacings,5,5
54:SampleMean,5,6
58:AppearanceSpacings,4,4
89:PeriodsInStrings,4,4
91:HammingWeight2,4,5
69:MatrixRank,4,6
33:CouponCollector,4,4
5:CollisionOver,3,3
44:CollisionPermut,3,3
3:CollisionOver,2,2
6:CollisionOver,2,2
84:Fourier3,1,1
